[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  2 minutes, 38.619 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  3 minutes, 54.210 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  17.154 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  17.396 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  17.296 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  41.516 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  1 minutes, 53.251 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  1 minutes, 57.300 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  44.327 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  1 minutes, 0.577 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  38.266 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  38.618 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  13.159 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  15.839 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  28.421 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  37.889 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  37.572 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  37.746 seconds
